Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
1683,2003-02-18,Barcelona,Internazionale,3.0,0.0,H,1800.68,1515.2
1684,2003-02-26,Internazionale,Barcelona,0.0,0.0,D,1527.0,1788.88
1685,2003-03-11,Barcelona,Leverkusen,2.0,0.0,H,1794.44,1516.52
1686,2003-03-19,Newcastle Utd,Barcelona,0.0,2.0,A,1487.36,1802.12
1687,2003-04-09,Juventus,Barcelona,1.0,1.0,D,1688.8,1798.32
1688,2003-04-22,Barcelona,Juventus,1.0,2.0,A,1769.72,1717.4
1689,2001-09-11,Roma,Real Madrid,1.0,2.0,A,1526.36,1674.24
1690,2001-09-19,Real Madrid,Loko Moscow,4.0,0.0,H,1681.04,1441.6
1691,2001-09-26,Real Madrid,Anderlecht,4.0,1.0,H,1687.96,1452.44
1692,2001-10-16,Anderlecht,Real Madrid,0.0,2.0,A,1442.2,1698.2
1693,2001-10-24,Real Madrid,Roma,1.0,1.0,D,1686.92,1537.64
1694,2001-10-30,Loko Moscow,Real Madrid,2.0,0.0,H,1471.8,1656.72
1695,2001-11-21,Sparta Prague,Real Madrid,2.0,3.0,A,1411.4,1666.96
1696,2001-12-04,Real Madrid,Panathinaikos,3.0,0.0,H,1673.64,1431.24
1697,2002-02-19,Real Madrid,Porto,1.0,0.0,H,1684.56,1542.52
1698,2002-02-27,Porto,Real Madrid,1.0,2.0,A,1527.68,1699.4
1699,2002-03-12,Real Madrid,Sparta Prague,3.0,0.0,H,1704.4,1406.4
1700,2002-03-20,Panathinaikos,Real Madrid,2.0,2.0,D,1442.56,1693.08
1701,2002-04-02,Bayern Munich,Real Madrid,2.0,1.0,H,1683.12,1674.32
1702,2002-04-10,Real Madrid,Bayern Munich,2.0,0.0,H,1691.96,1665.48
1703,2002-04-23,Barcelona,Real Madrid,0.0,2.0,A,1742.68,1719.0
1704,2002-05-01,Real Madrid,Barcelona,1.0,1.0,D,1717.48,1744.2
1706,2001-08-08,Wisła Kraków,Barcelona,3.0,4.0,A,1483.72,1753.76
1707,2001-08-21,Barcelona,Wisła Kraków,1.0,0.0,H,1759.24,1478.24
1708,2001-09-18,Fenerbahçe,Barcelona,0.0,3.0,A,1509.96,1769.32
1709,2001-09-25,Leverkusen,Barcelona,2.0,1.0,H,1547.04,1738.8
1710,2001-10-10,Barcelona,Lyon,2.0,0.0,H,1748.96,1591.48
1711,2001-10-17,Barcelona,Leverkusen,2.0,1.0,H,1756.56,1539.44
1712,2001-10-23,Lyon,Barcelona,2.0,3.0,A,1577.88,1770.16
1713,2001-10-31,Barcelona,Fenerbahçe,1.0,0.0,H,1775.92,1504.2
1715,2001-12-05,Barcelona,Galatasaray,2.0,2.0,D,1760.04,1465.56
1716,2002-02-20,Barcelona,Roma,1.0,1.0,D,1746.92,1550.76
1717,2002-02-26,Roma,Barcelona,3.0,0.0,H,1578.72,1718.96
1719,2002-03-19,Galatasaray,Barcelona,0.0,1.0,A,1456.08,1728.44
1720,2002-04-03,Panathinaikos,Barcelona,1.0,0.0,H,1474.36,1696.64
1721,2002-04-09,Barcelona,Panathinaikos,3.0,1.0,H,1703.56,1467.44
1724,2000-09-12,Sporting CP,Real Madrid,2.0,2.0,D,1431.84,1705.24
1725,2000-09-20,Real Madrid,Spartak Moscow,1.0,0.0,H,1710.96,1438.68
1726,2000-09-27,Leverkusen,Real Madrid,2.0,3.0,A,1526.16,1724.24
1727,2000-10-17,Real Madrid,Leverkusen,5.0,3.0,H,1731.96,1518.44
1728,2000-10-25,Real Madrid,Sporting CP,4.0,0.0,H,1736.68,1427.12
1729,2000-11-07,Spartak Moscow,Real Madrid,1.0,0.0,H,1470.96,1704.4
1730,2000-11-22,Leeds United,Real Madrid,0.0,2.0,A,1488.36,1716.04
1731,2000-12-05,Real Madrid,Anderlecht,4.0,1.0,H,1721.4,1436.84
1732,2001-02-13,Real Madrid,Lazio,3.0,2.0,H,1728.52,1498.44
1733,2001-02-21,Lazio,Real Madrid,2.0,2.0,D,1507.96,1719.0
